Highest monomials degree in LfsrOut as a function of clock cycle: 
#Cycle 	Degrees--------> 
1    	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
2    	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1 
3    	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1 
4    	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	2	1	2	1	1	0	0	1	1	2	1	1	1 
5    	1	1	1	0	0	2	1	0	1	1	1	1	1	1	1	0	0	1	2	1	2	2	1	1	0	1	1	2	2	1	1	1 
6    	1	1	1	0	2	3	1	1	1	1	1	1	3	1	1	0	1	2	1	2	2	4	1	1	1	1	2	2	3	1	1	1 
7    	1	1	1	2	3	4	1	1	1	1	1	3	3	1	1	1	2	1	2	2	4	3	1	1	1	2	2	3	4	1	1	1 
8    	1	1	2	3	4	4	1	1	1	1	3	3	5	1	1	2	1	2	2	4	3	6	1	1	2	2	3	4	5	1	1	1 
9    	1	2	3	4	4	5	1	1	1	3	3	5	4	1	2	1	2	2	4	3	6	7	1	2	2	3	4	5	5	1	1	1 
10    	2	3	4	4	5	5	1	1	3	3	5	4	7	2	1	2	2	4	3	6	7	8	2	2	3	4	5	5	6	1	1	1 
11    	3	4	4	5	5	7	1	3	3	5	4	7	6	1	2	2	4	3	6	7	8	6	2	3	4	5	5	6	6	1	1	2 
12    	4	4	5	5	7	8	3	3	5	4	7	6	9	2	2	4	3	6	7	8	6	7	3	4	5	5	6	6	8	1	2	3 
13    	4	5	5	7	8	8	3	5	4	7	6	9	10	2	4	3	6	7	8	6	7	8	4	5	5	6	6	8	12	2	3	4 
14    	5	5	7	8	8	9	5	4	7	6	9	10	9	4	3	6	7	8	6	7	8	12	5	5	6	6	8	12	13	3	4	4 
15    	5	7	8	8	9	10	4	7	6	9	10	9	10	3	6	7	8	6	7	8	12	13	5	6	6	8	12	13	14	4	4	5 
16    	7	8	8	9	10	14	7	6	9	10	9	10	11	6	7	8	6	7	8	12	13	11	6	6	8	12	13	14	12	4	5	5 
17    	8	8	9	10	14	15	6	9	10	9	10	11	14	7	8	6	7	8	12	13	11	12	6	8	12	13	14	12	13	5	5	7 
